职位,职位诱惑,薪资,工作地点,工作经历,学历要求,工作种类,工作描述
Python开发,"五险一金,季度旅游,生日会,带薪年假",15k-30k,上海,经验3-5年,本科及以上,全职,岗位职责：1、负责产品服务器端设计和代码实现 ；2、优化现有产品的功能和体验细节 ；3、积极调研新技术，随时准备用于产品 ；岗位要求： 1、本科及以上学历，计算机、软件工程、信息管理、计算机应用等理工专业 ；2、3年以上Web服务器端开发经验， 2年以上python服务端开发经验，做过saas平台，大并发经验优先 ；3、有丰富的数据库建模经验，有MySQL、MongoDB、Redis使用经验者优先 ；4、有扎实的技术功底，做到知其然并知其所以然，能读懂python主流框架源码 ；5、熟悉分布式系统的设计和应用，熟悉分布式、缓存、消息等机制；能对分布式常用技术进行合理应用，解决问题；6、具有一定的技术架构思维，确保设计的技术方案、开发的代码有较高性能、质量保障、扩展性，前瞻性 。
Python开发工程师,"一日三餐,六险一金,14薪,定期团建",10k-18k,北京,经验3-5年,本科及以上,全职,职位描述1、负责产品核心 api 及开放平台的设计、开发与维护；2、服务端相关组件开发；3、负责数据库优化和数据模型的设计；4、内部系统开发。任职要求1、精通 Python。理解并认同 Python 八荣八耻；2、两年以上互联网产品 Python 后台开发经验；3、熟悉 MySQL 数据库，有非常丰富的 MySQL 优化经验；4、熟悉 Redis，有基于 Redis 的缓存、任务队列等组件的开发经验；5、有大规模 RESTful 服务和 RPC 服务开发经验；6、扎实的计算机基础，熟练掌握数据结构、算法、计算机网络、操作系统等基础知识；7、熟悉 Linux 系统管理，熟练使用 Linux 工具，熟练掌握 Shell 编程；8、有很强的学习能力、压力承担能力及团队合作能力，有主动性和上进心；9、优秀的分析问题和解决问题的能力，对解决具有挑战性的问题充满激情。
Python开发工程师,"弹性工作制,扁平化管理,绩效奖金,美国上市",15k-28k,北京,经验3-5年,本科及以上,全职,职位要求：Python开发工程师（工作两年或以上，工作地北京）熟练使用Python标准库作为开发环境；熟练调用MySQL、Key-Value存储系统，能够进行系统性能调优；熟练处理Python Unicode、IO读写、调试、进程线程同步；有大规模高并发访问的后端应用开发或分布式开发经验者优先；如能提供你在开源网站上的作品，请务必注明URL；我们还希望你：有分析和发现系统的优化点，负责推动产品性能和架构优化，以及不断创新的能力；有很强的分析问题和解决问题的实践动手能力；热爱编程，对代码有处女座般完美癖好，强烈的责任心，视产品为自己的孩子；鼓励使用Linux和开源代码；
python开发工程师,福利优厚,20k-40k,北京,经验3-5年,本科及以上,全职,岗位职责： 数据爬虫设计与开发数据 ETL和可视化 实时大数据处理 招聘要求： 1.三年以上开发经验 2.熟练使用 Python，Golang 等开发语言 3.熟悉 Linux 系统使用和 shell 编程 4.了解机器学习者优先5.了解视频编解码者优先
Python开发工程师,"独角兽公司,牛人多,福利好,互联网风格",15k-30k,上海,经验5-10年,本科及以上,全职,工作职责：1.负责私有云计算产品的研发与运营；2.负责私有云计算产品的后台管理系统研发；3.协助进行研发团队的技术指导工作。职位要求：1.本科及以上学历，计算机相关专业，五年以上后台开发工作经验；2.精通Linux/Unix平台上的Python开发；3.具备良好的分析解决问题能力，能独立承担任务和有系统进度把控能力；5.有良好的团队合作能力，富有工作激情，善于沟通，热爱开发事业；熟悉关系型数据库，具备sql调优能力，了解nosql优先。
python开发工程师,"工作氛围好,专业培训,发展空间大,上市公司",15k-30k,上海,经验不限,学历不限,全职,工作职责﻿1、公司游戏相关通信产品的管理系统开发；2、负责管理系统的需求调研和系统设计；3、负责系统的编码实现及相关技术文档的撰写。任职资格1、3年以上python相关项目开发经验；2、熟悉Linux、Nginx、Mysql环境，能够独立进行数据库的相关设计工作；3、强烈的好奇心，喜欢钻研技术，并尝试利用技术去实现各种好玩的应用和工具，有相关经验者优先；4、有良好的代码编写习惯，熟练使用GIT、SVN等代码管理工具；5、熟悉Web前端技术优先考虑。
Python 开发工程师,发展空间大 期权激励 弹性工作,20k以上,上海,经验不限,本科及以上,全职,职位描述：1. 负责人工智能产品技术及云平台产品开发；2. 通过机器学习，持续产品和技术的优化；3. 设计及运用先进技术于产品开发。 任职资格：1. 本科及以上学历，计算机相关专业毕业，本科3年以上工作经验，硕士1年以上工作经验；2. 具有扎实的编程及设计功底，精通Python开发编程；3. 具有丰富的网络或移动后台搭建与编程经验；熟悉业界内常用的开源工具，并在不同项目中有实际使用经验；具备良好的分析解决问题能力，能独立承担任务和有项目进度把控能力。
Python工程师,"五险一金,弹性工作",15k-20k,北京,经验3-5年,本科及以上,全职,工作职责：使用Python开发各种运维自动化工具，帮助运维人员提升工作效率。 职位要求 ：1. 有扎实的Python语言基础，觉着自己写的代码很Pythonic； 2. 熟悉Linux系统的原理和操作 ；3. 熟悉诸如Tornado、Flask等常用python框架者优先 ；4. 有自动化运维工具开发经验以及Ansible使用经验者优先。
Python开发,"前景好,大牛多,成长快,扁平管理",18k-30k,杭州,经验3-5年,本科及以上,全职,"岗位要求：  1. 本科以上学历，2年以上工作经验；  2. 熟悉Python开发；  3、了解java开发；  4. 熟悉Linux开发环境，熟悉多线程、网络编程,熟悉TCP/IP通信；熟悉常用的数据结构与算法；  5. 责任心强，主动、好学; 具备良好的分析解决问题能力，能独立承担任务。"
Python开发工程师,"十四薪,带薪年假,免费三餐,租房补助",18K-35K,北京,经验3-5年,大专及以上,全职,岗位职责：1、负责数据后台服务的设计、开发、优化、测试等研发工作；2、负责支撑业务的其他项目的开发和维护;3、完成单元测试及相关技术文档的编写.任职要求：1、扎实的计算机基础，熟练掌握数据结构、算法、计算机网络、操作系统等基础知识；2、两年以上互联网产品 Python 、PHP后台开发经验；3、熟悉mysql，redis，mongo等常用数据库，具有数据库开发和设计能力；4、了解异步框架、集群与负载均衡，消息中间件，容灾备份等技术；5、有全栈开发经验或大型在线服务开发经验优先。6、极强的学习能力和动力，对未知技术和领域能快速掌握并实践；7、有很强的学习能力、压力承担能力及团队合作能力，有主动性和上进心
